manager_id,manager_name,type,style,strategy,sector,active
242,Altos Fund Management,Equity LS,Discretionary,Fundamental,Energy,False
243,ALTrading,Crypto,Discretionary,Digital Asset Allocator,Global,False
244,Altradis Capital Ag,CTA,Systematic,Multi Strategy,Global,False
245,Altruid Systems Limited,CTA,Systematic,Multi Strategy,Global,False
246,Altus Trading,CTA,Systematic,Multi Strategy,Currency,False
247,AmaliDorae RFS,Crypto,Discretionary,Digital Asset Allocator,Global,False
248,Amapa Capital Advisors,CTA,Discretionary,Fundamental,Energy,True
249,Amati Global Investors,CTA,Systematic,Trend Following,Global,False
250,Amber Capital,Equity LS,Discretionary,Fundamental,Global,True
251,Amber Hill Capital Limited,CTA,Systematic,Short Term,Currency,False
252,Amber Infrastructure Group,Infrastructure,Discretionary,PPP,Global,True
253,Ambient Capital Management,CTA,Systematic,Short Term,Global,False
254,Ambrosia Asset Management,Hedge Fund,Discretionary,Multi Strategy,Global,False
255,AMBROX Capital,CTA,Systematic,Trend Following,Global,False
256,Amedeo,Private Equity,Discretionary,Diversified,Aircraft,True
257,Amen Asset Management,CTA,Discretionary,Option Strategy,Global,False
258,AmericaFirst,Equity LS,Discretionary,Growth,US,False
259,American Beacon,Fixed Income,Discretionary,Convertible,US,True
260,American Century,Market Neutral,Systematic,Fundamental,US,False
261,American Companies,CTA,Systematic,Trend Following,Global,False
262,American Optimal Advisors,CTA,Systematic,Short Term,Equity,False
264,AMFA Capital Management,CTA,Systematic,Fundamental,Global,True
265,Amigo Feliz II,Crypto,Discretionary,Digital Asset Allocator,Global,False
266,Amina Group,Crypto,Discretionary,Digital Asset Allocator,Global,True
267,Amphibian Capital,Crypto,Fund of Funds,Market Neutral,Global,True
268,Amplitude Capital International,CTA,Systematic,Short Term,Global,False
270,Amsys Capital,Crypto,Systematic,Crypto LS,Global,False
271,Amundi,AssetAllocation,Discretionary,Diversified,Global,True
273,Analytic Investment Management,CTA,Systematic,Short Term,Global,False
274,Anavon Capital,Equity LS,Discretionary,Fundamental,Global,False
275,ANB Investments US,Crypto,Discretionary,Market Neutral,Global,True
276,Anchor Capital,Equity LS,Systematic,Technical,US,True
277,Anchor Crypto Growth Fund,Crypto,Discretionary,Digital Asset Allocator,Global,False
278,Anchor Index Top 10,Crypto,Discretionary,Digital Asset Allocator,Global,False
279,Ancile Capital Management,CTA,Systematic,Multi Strategy,Global,False
280,Ancora Advisors,Event Driven,Discretionary,Fundamental,Global,True
281,Anderson Creek Trading,CTA,Systematic,Trend Following,Global,True
282,Andurand,CTA,Discretionary,Fundamental,Energy,False
284,Anello Asset Management,CTA,Systematic,Trend Following,Global,False
285,Angle Capital Management,CTA,Systematic,Trend Following,Global,False
286,Anima,AssetAllocation,Discretionary,Diversified,Global,True
287,Anna Asset Management,Crypto,Systematic,Crypto LS,Global,False
288,Ansa Capital Management,Market Neutral,Systematic,Fundamental,Global,True
289,Ansbacher Investment Management,CTA,Discretionary,Option Writer,Equity,False
290,Antares Global Crypto Fund,Crypto,Discretionary,Digital Asset Allocator,Global,False
291,Anthony Capital Management,CTA,Systematic,Short Term,Equity,False
292,Anthony W Madia,CTA,Systematic,Multi Strategy,Global,False
293,Antiloop,CTA,Discretionary,Fundamental,Global,True
294,Antipodes,Equity LS,Discretionary,Fundamental,Global,False
295,AP Futures,CTA,Discretionary,Fundamental,Volatility,True
296,Ape Capital,Crypto,Discretionary,Digital Asset Allocator,Global,False
297,Aperture,Fixed Income,Discretionary,Fundamental,Credit,True
298,Apex,Private Equity,Discretionary,Sector,Global,False
299,Aphilion,LongOnly,Systematic,Multi Strategy,Europe,True
301,Apis Capital Management,CTA,Discretionary,Market Neutral,Volatility,False
302,Apollo Capital Management Pty,Crypto,Discretionary,Crypto LS,Global,True
304,Appleton Capital Management,CTA,Systematic,Fundamental,Global,False
305,Applied Capital Systems,CTA,Systematic,Multi Strategy,Global,False
306,Applied Investments,CTA,Discretionary,Option Strategy,Equity,False
307,Apr Management,CTA,Systematic,Short Term,Volatility,False
308,AQR Capital Management,RiskPremia,Systematic,Multi Strategy,Global,True
310,Aquaeductus Capital As,Equity LS,Discretionary,Value,Global,True
311,Aquantum,CTA,Systematic,Option Strategy,Volatility,True
312,Aquarius,Crypto,Discretionary,Digital Asset Allocator,Global,False
313,Aquila Capital Concepts,CTA,Systematic,Multi Strategy,Global,False
314,Aquila Fund,Crypto,Discretionary,Digital Asset Allocator,Global,False
315,ARA Portfolio Management,CTA,Systematic,Multi Strategy,Commodity,False
316,Arabesque,LongOnly,Systematic,Momentum,Equity,False
319,Arca Investment Management,Crypto,Discretionary,Digital Asset Allocator,Global,True
320,Arcadia Fund,CTA,Systematic,Short Term,Global,False
321,Arcane Assets,Crypto,Discretionary,Digital Asset Allocator,Global,False
322,Arcanum Asset Management,CTA,Discretionary,Option Writer,Equity,False
323,Arcanum Investment Management,CTA,Systematic,Option Strategy,Equity,False
324,Arch Capital Management,CTA,Systematic,Multi Strategy,Global,False
325,Archetype Risk Advisors,CTA,Systematic,Short Term,Equity,False
326,Archimedes Capital Group,CTA,Discretionary,Fundamental,Commodity,False
327,Archipel Asset Management,Market Neutral,Systematic,Multi Strategy,Global,False
328,Archipel Trading,CTA,Discretionary,Technical,Global,False
329,ArchSight Capital Partners,CTA,Discretionary,Fundamental,Global,False
330,Arcom,CTA,Discretionary,Fundamental,Energy,False
331,Arcos Fund Management Company,Fixed Income,Discretionary,Fundamental,Europe,False
332,Arctic Blue Capital,CTA,Systematic,Trend Following,Commodity,False
333,Arctos FX,CTA,Systematic,Multi Strategy,Currency,False
334,Arctur DeFi,Crypto,Discretionary,Digital Asset Allocator,Global,False
335,Arcus,Equity LS,Discretionary,Value,Japan,False
336,Ardea,Fixed Income,Discretionary,Market Neutral,Global,True
337,Ardevora,Equity LS,Discretionary,150/50,Global,False
338,Ardmore Systems Trading,CTA,Discretionary,Technical,Commodity,False
339,Areus Asset Management,CTA,Systematic,Multi Strategy,Currency,False
340,Argonaut,Equity LS,Discretionary,Fundamental,Global,True
341,Argus Capital Management,CTA,Systematic,Trend Following,Global,False
343,ARIN,Equity LS,Systematic,Option Strategy,Equity,False
346,Arjuss,Crypto,Discretionary,Digital Asset Allocator,Global,False
347,Ark Capital Management,CTA,Discretionary,Fundamental,Global,False
348,Ark Royal,Hedge Fund,Fund of Funds,Diversified,Global,False
349,ARK36,Crypto,Discretionary,Digital Asset Allocator,Global,False
350,Arkanar Financial,CTA,Discretionary,Fundamental,Global,False
351,ARR Investment Partners,Equity LS,Discretionary,Fundamental,Global,False
353,ArrowIT ArrowIt,Crypto,Discretionary,Digital Asset Allocator,Global,False
354,Art 90 Fund,Private Equity,Discretionary,Diversified,Art,False
355,Artemis,AssetAllocation,Discretionary,Diversified,Global,True
356,Artemis Capital Management,Equity LS,Discretionary,Fundamental,Global,True
357,Arx Asset Management,CTA,Systematic,Option Strategy,Global,False
358,Asante Capital Management,CTA,Systematic,Multi Strategy,Global,False
359,Ascendant Asset Advisors,CTA,Discretionary,Option Writer,Equity,False
360,Ascending ARV,Crypto,Discretionary,Digital Asset Allocator,Global,False
361,Ascending Vector,Crypto,Discretionary,Digital Asset Allocator,Global,False
365,Asha Capital Partners,Crypto,Fund of Funds,Crypto LS,Global,False
366,Ashley Capital,CTA,Systematic,Trend Following,Global,False
367,Asia Genesis Asset Management,CTA,Discretionary,Fundamental,Global,False
368,Asilo Asset Management,LongOnly,Discretionary,Value,Equity,True
369,Asmodeux,CTA,Systematic,Short Term,Global,False
370,Aspect Capital Limited,LongOnly,Systematic,Trend Following,Global,True
371,Aspen Partners,CTA,Systematic,Trend Following,Global,False
372,Aspen Private Capital,CTA,Discretionary,Option Writer,Global,False
373,Aspen Trading Group,CTA,Discretionary,Short Term,Global,False
374,Aspiration,Hedge Fund,Fund of Funds,Diversified,Global,False
375,Aspiriant,Hedge Fund,Fund of Funds,Diversified,Global,True
376,Assenagon,Hedge Fund,Discretionary,Option Strategy,Volatility,True
377,Asset Advisor,Hedge Fund,Discretionary,Multi Strategy,Global,True
378,Asset Management by Windsor Securities,CTA,Systematic,Multi Strategy,Global,False
