manager_id,manager_name,type,style,strategy,sector
667,BYC CAPITAL,Crypto,Discretionary,Digital Asset Allocator,Global
670,C-QUADRAT Kapitalanlage,AssetAllocation,Systematic,Diversified,Global
674,Caddo Capital Management,CTA,Systematic,Multi Strategy,Global
675,Cadwyn Capital,CTA,Systematic,Multi Strategy,Global
679,Calamos,Equity LS,Discretionary,Fundamental,Global
681,Calculo Capital,CTA,Systematic,Trend Following,Commodity
4232,Calibrate Management,Equity LS,Discretionary,Fundamental,Europe
687,Camelot,Event Driven,Discretionary,Fundamental,Global
690,Campbell & Company,CTA,Systematic,Multi Strategy,Global
3704,Campsor,Crypto,Discretionary,Digital Asset Allocator,Global
693,Candriam Investors Group,Market Neutral,Discretionary,Fundamental,Global
695,Cantor Fitzgerald,Equity LS,Discretionary,Multi Strategy,Global
4502,Capeview,Equity LS,Discretionary,Fundamental,Europe
697,Capital Four Management,Fixed Income,Credit,Fundamental,High Yield
698,Capital Fund Management,CTA,Systematic,Trend Following,Global
3718,Capricorn Strategies,CTA,Systematic,Multi Strategy,Global
3762,Capstone Futures Group,CTA,Systematic,Short Term,Global
706,Capstone Investment Advisors,CTA,Systematic,Trend Following,Alternative
3751,Captor Fund Management,LongOnly,Discretionary,Fundamental,Equity
4389,Capula Investment Management,Hedge Fund,Discretionary,Market Neutral,Volatility
709,Caravela Energy Partners,CTA,Discretionary,Fundamental,Energy
711,Carbon Cap Management,CTA,Discretionary,Multi Strategy,Energy
4147,Caretta Capital Management,CTA,Systematic,Trend Following,Global
719,Carlsson Noren Asset Management,Fixed Income,Discretionary,Fundamental,Macro
721,Carmignac Gestion,Equity LS,Discretionary,Fundamental,Europe
723,CARN Capital AS,Equity LS,Discretionary,Fundamental,Europe
724,Carnegie Asset Management,LongOnly,Active Index,Fundamental,ESG
725,Carrhae Capital,Equity LS,Discretionary,Fundamental,Emerging
4138,Carronade Capital Management,Fixed Income,Discretionary,Fundamental,Global
729,CARUS-AR,Crypto,Discretionary,Digital Asset Allocator,Global
4017,Castlebar Capital,Equity LS,Discretionary,Fundamental,Global
4074,Catalio Capital Management,Equity LS,Discretionary,Fundamental,Health Care
735,Catalyst Capital Advisors,LongOnly,Systematic,Trend Following,Global
739,Catella Fondforvaltning,Fixed Income,Credit,Fundamental,Nordic
741,Causeway,Equity LS,Discretionary,Fundamental,Global
3850,Caygan Capital,Fixed Income,Discretionary,Multi Strategy,Global
755,Cederberg Capital,Equity LS,Discretionary,Fundamental,Asia
4462,Challenger Solutions,RiskPremia,Systematic,Diversified,Global
771,Chamaeleo Capital Management,CTA,Systematic,Multi Strategy,Global
778,Chelton Wealth,CTA,Systematic,Short Term,Currency
779,Chenavari,Fixed Income,Discretionary,Multi Strategy,Credit
3676,Chessica Management Corp,CTA,Systematic,Option Strategy,Equity
4030,Chilton Investment Company,Equity LS,Discretionary,Fundamental,Global
4122,China Alpha Fund Management,Equity LS,Discretionary,Fundamental,Asia
788,China Asset Management (Hong Kong),Equity LS,Discretionary,Fundamental,Asia
790,CIBC Asset Management,CTA,Discretionary,Fundamental,Currency
792,CIFC,Fixed Income,Discretionary,Fundamental,Global
3724,Cipher Capital Management,CTA,Systematic,Multi Strategy,Global
795,Cipher Chain Capital,Crypto,Systematic,Market Neutral,Global
799,CKC,Fixed Income,Discretionary,Fundamental,Global
4460,Clear Drop,Equity LS,Discretionary,Fundamental,North America
809,Clear Peak Capital,Equity LS,Discretionary,Fundamental,UK
811,Cleaves Asset Management,Equity LS,Discretionary,Fundamental,Shipping
823,Coeus Capital,CTA,Fund of Funds,Diversified,Currency
830,COINBEST,Crypto,Discretionary,Digital Asset Allocator,Global
832,Coincident Capital,Crypto,Discretionary,Crypto LS,Global
838,Comhla,CTA,Systematic,Short Term,Equity
848,Concise Capital Management,Fixed Income,Discretionary,Fundamental,High Yield
4033,Condire Investors,Equity LS,Discretionary,Fundamental,Global
855,Constella Capital Management,Crypto,Discretionary,Market Neutral,Global
857,Contour Asset Management,Equity LS,Discretionary,Fundamental,Technology
858,Contrarian Investors,CTA,Systematic,Contrarian,Commodity
859,CONTRENDIAN,CTA,Systematic,Multi Strategy,Global
863,Cooper Creek,Equity LS,Discretionary,Fundamental,US
866,Cordiant,Infrastructure,Discretionary,Telecom,Global
870,CoreCommodity Management,LongOnly,Active Index,Diversified,Commodity
886,Creative Derivative Management,CTA,Discretionary,Fundamental,Agricultural
887,Credere Capital,Fixed Income,Discretionary,Convertible,Global
3766,Crescat Capital,Hedge Fund,Discretionary,Fundamental,Global
895,Crescit Asset Management,CTA,Discretionary,Multi Strategy,Global
898,CRM,Equity LS,Discretionary,Fundamental,US
4392,Cross Continents Capital Management,AssetAllocation,Systematic,Fundamental,Global
901,Crossmark Steward,Market Neutral,Systematic,Fundamental,US
922,Crypto Finance,Crypto,Index,Index,Index
928,Crypto Global Management,Crypto,Discretionary,Digital Asset Allocator,Global
930,Crypto Global Management UK - Passive,Crypto,Discretionary,Digital Asset Allocator,Global
1011,Dalton Investments,Equity LS,Discretionary,Fundamental,Asia
1022,Davis Commodities,CTA,Discretionary,Fundamental,Agricultural
1026,DCAP,Crypto,Discretionary,Venture,Global
1028,DCM Systematic GP,CTA,Systematic,Multi Strategy,Global
1033,Dearborn Capital Management,CTA,Fund of Funds,Diversified,Global
4037,Decagon Asset Management,Event Driven,Discretionary,Multi Strategy,Global
1035,Decalia,Equity LS,Systematic,Multi Strategy,Global
4064,Deep Edge Fund Management,CTA,Systematic,AI,Global
1040,DeFi  Core,Crypto,Discretionary,Digital Asset Allocator,Global
1059,Demeter Capital Management,CTA,Discretionary,Fundamental,Agricultural
1062,Desjardins Global Asset Management,Market Neutral,Discretionary,Fundamental,North America
1065,Deutsche Asset Management,AssetAllocation,Discretionary,Diversified,Global
527,DG Partners,CTA,Systematic,Trend Following,Global
1070,Diamond Capital Management,CTA,Systematic,Multi Strategy,Equity
1071,Diamond Hill,Equity LS,Discretionary,Value,US
1079,Digital 9,Infrastructure,Discretionary,Telecom,Global
3686,Digital Asset Funds Management,Crypto,Discretionary,Digital Asset Allocator,Global
1081,Digital Asset Management (DAF),Crypto,Discretionary,Digital Asset Allocator,Global
1089,Disciplined Alpha,Equity LS,Systematic,Fundamental,US
1094,Ditsch Trading,CTA,Discretionary,Fundamental,Agricultural
1095,DIVAS Asset Management,CTA,Systematic,Trend Following,Global
1096,Divergence Trading,CTA,Systematic,Trend Following,Global
1100,Diversitas,Crypto,Discretionary,Digital Asset Allocator,Global
1112,DNCA Invest,Market Neutral,Discretionary,Fundamental,Europe
1117,Dom Finance,Equity LS,Systematic,Multi Strategy,Europe
1123,Donald Smith LP,CTA,Discretionary,Fundamental,Global
4153,Dopamine Investments,Crypto,Discretionary,Crypto LS,Global
1125,dormouse Limited,CTA,Systematic,Short Term,Global
1127,Dorsey Wright,CTA,Systematic,Fundamental,Global
4038,Drakai Capital,Fixed Income,Systematic,Multi Strategy,Credit
3697,Drakewood Capital Management,CTA,Discretionary,Fundamental,Metal
1140,Driehaus,Event Driven,Discretionary,Fundamental,Global
1142,Drury Capital,CTA,Systematic,Trend Following,Global
1143,DS Aviation,Private Equity,Discretionary,Diversified,Aircraft
